Nr.,Name,Nametech,Area,Area misc.,Importance,Parent,Decade,Year,Country?
,Moombahcore,moombahcore,latin,dubstep,2,Moombahton,2010s,early 2010s,USA
,Moombahsoul,moombahsoul,latin,soulful,1,Moombahton,2010s,early 2010s,USA
,Moombahton,moombahton,latin,house,3,Reggaeton,2000s,late 2000s,USA
,MPB,mpb,latin,pop,5,Bossa Nova,1960s,mid-1960s,Brazil
,Norteño,norteno,latin,folk,4,(none),1910s,1910s,"Mexico, USA"
,Nueva Trova,nuevatrova,latin,folk,4,Trova,1960s,late 1960s,Cuba
,Pachanga,pachanga,latin,jazz,3,Mambo,1950s,late 1950s,"Cuba, USA"
,Pagode,pagode,latin,pop,4,Samba,1970s,late 1970s,Brazil
,Proibidao,proibidao,latin,hiphop,2,Funk Carioca,1990s,1990s,Brazil
,Punta,punta,latin,folk,4,Garifuna Music,1600s,late 17th-century Garifuna origins,"Belize, Honduras, Guatemala"
,Punta Rock,puntarock,latin,rock,4,Punta,1970s,late 1970s,Belize
,Rapso (soca),rapsosoca,latin,hiphop,3,Calypso,1970s,early 1970s,Trinidad and Tobago
,Reggaeton,reggaeton,latin,jamaican,5,Dancehall,1990s,early 1990s,"Puerto Rico, Panama"
,Rio Funk,riofunk,latin,hiphop,2,Funk Carioca,1990s,1990s,Brazil
,Rumba Cubana,rumbacubana,latin,african,5,(none),1880s,late 1800s,Cuba
,Salsa,salsa,latin,jazz,5,Son Cubano,1960s,mid-1960s,"USA, Caribbean"
,Samba,samba,latin,african,5,(none),1910s,1910s,Brazil
,Samba Rock,sambarock,latin,rock,4,Samba,1960s,late 1960s,Brazil
,Soca,soca,latin,folk,4,Calypso,1970s,early 1970s,Trinidad and Tobago
,Son Cubano,soncubano,latin,,5,(none),1890s,late 1800s,Cuba
,Tango,tango,latin,,4,(none),1880s,1880s,"Argentina, Uruguay"
,Tecnocumbia,tecnocumbia,latin,edm,4,Cumbia,1980s,late 1980s,"Mexico, Peru"
,Timba,timba,latin,jazz,4,Salsa,1980s,late 1980s,Cuba
,Tropicália,tropicalia,latin,rock,5,MPB,1960s,late 1960s,Brazil
,Trova,trova,latin,folk,4,(none),1800s,late 1800s,Cuba
,Vallenato,vallenato,latin,folk,4,(none),1930s,1930s,Colombia
,Zouk,zouk,latin,pop,5,Kadans,1980s,early 1980s,"Guadeloupe, Martinique"
,Alternative Metal,alternativemetal,metal,rock,4,Heavy Metal,1980s,mid-1980s,USA
,Atmospheric Black Metal,atmosphericblackmetal,metal,ambient,4,Black Metal,1990s,mid-1990s,Europe
,Atmospheric Sludge Metal,atmosphericsludgemetal,metal,ambient,3,Sludge Metal,1990s,late 1990s,USA
,Avant-Garge Metal,avantgargemetal,metal,experimental,3,Heavy Metal,1980s,mid-1980s,"Europe, USA"
,Black Metal,blackmetal,metal,,5,Heavy Metal,1980s,early 1980s,"UK, Norway"
,Blackened Crust,blackenedcrust,metal,hardcore,3,Crustpunk,1990s,early 1990s,"Europe, USA"
,Blackened Death Metal,blackeneddeathmetal,metal,,4,Death Metal,1980s,late 1980s,Europe
,Blackened Thrash Metal,blackenedthrashmetal,metal,,3,Thrash Metal,1980s,mid-1980s,"Europe, USA"
,Blackgaze,blackgaze,metal,rock,4,Black Metal,2000s,mid-2000s,France
,Brutal Death Metal,brutaldeathmetal,metal,,4,Death Metal,1990s,early 1990s,USA
,Celtic Metal,celticmetal,metal,folk,3,Folk Metal,1990s,early 1990s,Ireland
,Christian Metal,christianmetal,metal,folk,4,Heavy Metal,1970s,late 1970s,USA
,Crabcore,crabcore,metal,hardcore,1,Metalcore,2000s,late 2000s,USA
,Crossover Thrash,crossoverthrash,metal,rock,4,Thrash Metal,1980s,mid-1980s,USA
,Death 'n' Roll,deathnroll,metal,rock,3,Death Metal,1990s,early 1990s,Sweden
,Death Metal,deathmetal,metal,,5,Thrash Metal,1980s,mid-1980s,USA
,Death-Doom,deathdoom,metal,,4,Death Metal,1980s,late 1980s,"UK, USA"
,Deathcore,deathcore,metal,hardcore,4,Metalcore,2000s,early 2000s,USA
,Deathgrind,deathgrind,metal,hardcore,3,Death Metal,1980s,late 1980s,"USA, UK"
,Depressive Black Metal,depressiveblackmetal,metal,ambient,3,Black Metal,1990s,mid-1990s,Scandinavia
,Djent,djent,metal,rock,4,Progressive Metal,2000s,mid-2000s,"Europe, USA"
,Doom Metal,doommetal,metal,,5,Heavy Metal,1970s,early 1970s,UK
,Drone,drone,metal,ambient,3,Doom Metal,1990s,early 1990s,USA
,Epic Doom Metal,epicdoommetal,metal,,3,Doom Metal,1980s,mid-1980s,"USA, Sweden"
,Folk Metal,folkmetal,metal,folk,4,Heavy Metal,1990s,early 1990s,Europe
,Funeral Doom,funeraldoom,metal,ambient,3,Doom Metal,1990s,early 1990s,Finland
,Glam Metal,glammetal,metal,rock,4,Heavy Metal,1970s,late 1970s,USA
,Goregrind,goregrind,metal,hardcore,3,Grindcore,1980s,late 1980s,UK
,Goth Metal,gothmetal,metal,rock,3,Doom Metal,1990s,early 1990s,Europe
,Grindcore,grindcore,metal,hardcore,4,Hardcore Punk,1980s,mid-1980s,UK
,Groove Metal,groovemetal,metal,,4,Thrash Metal,1980s,late 1980s,USA
,Heavy Metal,heavymetal,metal,rock,5,Hard Rock,1960s,late 1960s,"UK, USA"
,Industrial Metal,industrialmetal,metal,industrial,4,Heavy Metal,1980s,late 1980s,"Europe, USA"
,Mathcore,mathcore,metal,hardcore,4,Metalcore,1990s,early 1990s,USA
,Melodic Black Metal,melodicblackmetal,metal,,3,Black Metal,1990s,early 1990s,Scandinavia
,Melodic Death,melodicdeath,metal,,4,Death Metal,1990s,early 1990s,Sweden
,Melodic Metalcore,melodicmetalcore,metal,hardcore,4,Metalcore,1990s,late 1990s,USA
,Metalcore,metalcore,metal,hardcore,5,Hardcore Punk,1980s,late 1980s,USA
,Neoclassical Metal,neoclassicalmetal,metal,classical,4,Heavy Metal,1970s,late 1970s,"USA, Europe"
,Neue Deutsche Härte,neuedeutscheharte,metal,industrial,3,Industrial Metal,1990s,early 1990s,Germany
,Nintendocore,nintendocore,metal,chiptune,2,Metalcore,2000s,early 2000s,USA
,Nu Metal,numetal,metal,hiphop,5,Alternative Metal,1990s,mid-1990s,USA
,NWOAHM,nwoahm,metal,,2,Heavy Metal,2000s,early 2000s,USA
,NWOBHM,nwobhm,metal,,4,Heavy Metal,1970s,late 1970s,UK
,Pagan Metal,paganmetal,metal,folk,3,Folk Metal,1990s,early 1990s,Europe
,Pornogrind,pornogrind,metal,hardcore,2,Grindcore,1990s,early 1990s,"Germany, USA"
,Post-Black Metal,postblackmetal,metal,rock,3,Black Metal,2000s,early 2000s,Europe
,Post-Metal,postmetal,metal,rock,4,Sludge Metal,1990s,mid-1990s,USA
,Power Metal,powermetal,metal,classical,4,Heavy Metal,1970s,late 1970s,"UK, Germany"
,Progressive Death Metal,progressivedeathmetal,metal,rock,4,Death Metal,1980s,late 1980s,"USA, Europe"
,Progressive Metal,progressivemetal,metal,rock,5,Heavy Metal,1980s,mid-1980s,"UK, USA"
,Rap Metal,rapmetal,metal,hiphop,4,Heavy Metal,1980s,mid-1980s,USA
,Sludge Metal,sludgemetal,metal,hardcore,4,Doom Metal,1980s,late 1980s,USA
,Speed Metal,speedmetal,metal,,4,Heavy Metal,1970s,late 1970s,"UK, USA"
,Stoner Doom,stonerdoom,metal,rock,3,Doom Metal,1990s,early 1990s,USA
,Stoner Metal,stonermetal,metal,rock,4,Doom Metal,1990s,early 1990s,USA
,Symphonic Black Metal,symphonicblackmetal,metal,classical,4,Black Metal,1990s,early 1990s,Norway
,Symphonic Death Metal,symphonicdeathmetal,metal,classical,3,Death Metal,1990s,mid-1990s,Europe
,Symphonic Metal,symphonicmetal,metal,classical,4,Heavy Metal,1990s,early 1990s,Europe
,Tech Death,techdeath,metal,rock,4,Death Metal,1980s,late 1980s,USA
,Technical Thrash Metal,technicalthrashmetal,metal,rock,3,Thrash Metal,1980s,mid-1980s,"USA, Europe"
,Thall,thall,metal,rock,2,Djent,2010s,early 2010s,Sweden
,Thrash Metal,thrashmetal,metal,hardcore,5,Heavy Metal,1980s,early 1980s,"USA, Germany"
,Traditional Doom Metal,traditionaldoommetal,metal,,4,Doom Metal,1980s,early 1980s,"UK, USA"
,Trance Metal,trancemetal,metal,trance,2,Power Metal,2000s,early 2000s,Europe
,Trap Metal,trapmetal,metal,hiphop,4,Trap,2010s,early 2010s,"USA, UK"
,Unblack Metal,unblackmetal,metal,folk,2,Black Metal,1990s,early 1990s,Norway
,Viking Metal,vikingmetal,metal,folk,4,Black Metal,1980s,late 1980s,Scandinavia
,War Metal,warmetal,metal,,3,Blackened Death Metal,1980s,late 1980s,Canada
,Pop Metal,popmetal,metal,pop,4,Heavy Metal,1970s,late-1970s,"USA, UK"
